agent_transcript,audio_emotion
স্লামু আলাইকুম মিতা বলছি কিভাবে আপনাকে হেল্প করতে পারি খুবই দুঃখিত স্যার সমস্যাটির জন্য একটু সময় দিন চেক করে আপনাকে জানাচ্ছি স্যার এইটা তো ফেইসবুক ইনস্টাগ্রামের জন্য সো আপনি ফেইসবুক ইনস্টাগ্রাম ব্যবহার করুন ব্যবহার করতে পারবেন কোনো সমস্যা নেই হ্যাঁ স্যার শুধুমাত্র ফেইসবুক ইনস্টাগ্রাম অন্য কোনো ব্রাউজারে ইউজ করতে পারবেন না ঠিক আছে বুঝতে পারিনি স্যরি স্যার এইটাতো মাই এয়ারটেল অ্যাপস থেকে নিয়েছেন একা তো আসা কখনই সম্ভব না আপনি নিয়েছেন তাই আপনাকে দেয়া হয়েছে গতকালকে নিয়েছেন আপনি জি অসংখ্য ধন্যবাদ এয়ারটেলে কল করার জন্য স্যার ভালো থাকবেন আল্লাহ হাফেজ,N
,
আসসালামু আলাইকুম মামুন বলছি বলুন কিভাবে হেল্প করতে পারি জি বলুন নাম্বারটি স্যার জি বলুন বলবেন জি বারো বাহাত্তর সতেরো তেষট্টি জি স্যার একটু সাথে থাকুন আমি চেক করে দেখছি স্যার দেখতে পাচ্ছি একশ পাঁচ টাকায় একশ ষাইট মিনিট এক জিবি ডাটা ত্রিশ দিন মেয়াদ কোড ডায়াল করে নিতে পারবেন এরকম একটি অফার রয়েছে স্যার আরেকটি অফার আছে চারশ পঞ্চাশ টাকায় বিশ জিবি থ্রিজি বিশ জিবি ফোরজি ডাটা ত্রিশ দিন মেয়াদ এরকম একটি অফার রয়েছে স্যার এরপরে রয়েছে একশ একটাকায় পাঁচ জিবি ইউটিউব ডাটা পনেরো দিন মেয়াদ এবং একশ উনত্রিশ টাকায় ছয় জিবি ইউটিউব ডাটা ত্রিশ দিন মেয়াদ এরকম অফার এছাড়া আরেকটি রয়েছে স্যার পঞ্চান্ন টাকায় চার জিবি তিন দিন মেয়াদ কোড ডায়াল করে নিতে পারবেন চুয়াল্লিশ টাকায় দুই জিবি জি ঠিক আছে স্যার আমি এখান থেকে এসএমএস করে পাঠিয়ে দিয়েছি ঠিক আছে জি স্যার বলুন না স্যার সেক্ষেত্রে জি না স্যার জি না স্যার আপনি এটি নিজেই চেক করতে পারবেন স্টার ওয়ান হ্যাশ এই কোডটি ডায়াল করে আমি কোডটি আপনাকে এসএমএস করে পাঠিয়েছি জি আপনি স্টার ওয়ান হ্যাশ কোডটি ডায়াল করুন আমি কোডটি এসএমএস করে পাঠিয়ে দিয়েছি তাহলে আপনি এটি চেক করতে পারবেন জি স্যার জি বলুন জি জি জি জি বুঝতে পারিনি স্যার আপনার কথাটি আপনাকে এটি আনব্লক করতে পঞ্চাশ টাকা নিয়েছে এটা কি কাস্টমার কেয়ারে গিয়েছিলেন না রিটেইলার পয়েন্টে গিয়েছিলেন জি স্যার এরকম কোনো তথ্য নেই স্যার জি হ্যাঁ হ্যাঁ আচ্ছা জি জি স্যার এধরনের তো কমিউনিকেশন আমাদের কাছে নেই স্যার আমরা জানি এটি এই ধরনের সার্ভিসের জন্য কোনো টাকা চার্জ হয় না ঠিক আছে স্যার স্যরি স্যার আমি আন্তরিক ভাবে দুঃখিত আমি এখান থেকে কি করতে পারি স্যার সেইজন্য সেক্ষেত্রে আপনি কাস্টমার কেয়ারে গিয়ে আপনি অভিযোগ করতে পারেন ঠিক আছে জি জি স্যার জি জি জি জি জি স্যার সেক্ষেত্রে আপনি অভিযোগ করতে পারেন কাস্টমার কেয়ারে গিয়ে ঠিক আছে কাস্টমার কেয়ারে যে কর্মকর্তা রয়েছে ম্যানেজার রয়েছে তার কাছে ঠিক আছে জি স্যার ধন্যবাদ এয়ারটেলের সাথে থাকার জন্য ভালো থাকুন আসসালামু আলাইকুম জি স্যার,N
আসসালামু আলাইকুম শারমিন বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি [স্যরি স্যার কাইন্ডলি সার্ভিস রিলেটেড কোয়েরি করবেন স্যার স্যার সার্ভিস রিলেটেড কোয়েরি করবেন সার্ভিস সংক্রান্ত কোনো তথ্য জানার থাকলে জানাবেন প্লিজ] আচ্ছা স্যার স্যার আপনাকে তো দশ দিন মেয়াদী দেওয়া হয়েছে স্যার এটা তো আপনার সেপ্টেম্বার মাসের অ্যাঁ ত্রিশ তারিখ সকাল এগারোটা বিয়াল্লিশ পর্যন্ত মেয়াদ আছে স্যার দশ দিনের মেয়াদ দেওয়া হয়েছে স্যার স্যরি স্যার ওটা তো আমরা দেখতে পাচ্ছি দশ দিনেরই দেওয়া হয়েছে হয়তো সিস্টেমেটিক কোনো কারণে এটা দেখতে পেয়েছিলেন স্টার থ্রি হ্যাশ কোড ডায়াল করে এবং মাই এয়ারটেল অ্যাপটি ব্যবহার করেন জানাবেন প্লিজ জি না স্যার আপনি মাই এয়ারটেল অ্যাপটি কি ব্যবহার করেন জানাবেন প্লিজ জি নিয়মটি,A
আসসালামু আলাইকমু এয়ারটেল রিটেইলার হেল্প ডেক্স থেকে মহিউদ্দিন বলছি কিভাবে হেল্প করতে পারি আলহামদুলিল্লাহ স্যার আশা করছি আপনিও ভালো আছেন অবশ্যই স্যার আপনি আমাকে নাম্বারটি কাইন্ডলি জানাবেন প্লিজ জিরো ওয়ান সিক্স ওয়ান থ্রি ওয়ান সেভেন ফাইভ সিক্স জিরো ফোর নাম্বার বলছি স্যার একটু মিলিয়ে নিবেন জিরো ওয়ান সিক্স ওয়ান থ্রি ওয়ান সেভেন ফাইভ সিক্স জিরো ফোর ঠিক আছে নাম্বার আমাকে একটু কাইন্ডলি সময় দিবেন স্যার আমি চেক করছি এই নাম্বারটি স্টক ব্যালেন্সটি আমাকে প্লিজ জানাবেন স্যার নাম্বারটির স্টক ব্যালেন্সটি আমাকে কাইন্ডলি জানাবেন প্লিজ ঠিক আছে স্যার আপনার এই তথ্যগুলি ম্যাচ করেছে এবং আমি চেক করে দেখিছি নাম্বারটি কোনো বার নেই এবং আমি এখান থেকে আপনার নাম্বারের রেফারেন্সে রিটেলার নাম্বারটিতে রিসেট পিন চারটি শূন্য করে পাঠিয়ে দিয়েছি পূর্বে ইউজ হয়নি এমন চারটি এলোমেলো সংখ্যা দিয়ে কাইন্ডলি একটু পিনটা সেট করবেন কেমন স্যার আপনাকে আমি ছোট একটি রিকোয়েস্ট করতাম স্যার কলটি শেষে টু ডাবল সিক্স ডাবল সিক্স থেকে একটি এসএমএস পাবেন এবং আমার সেবাটি ভালো লাগলে কাইন্ডলি একটু মূল্যবান মতামতটি জানিয়ে দিবেন কোনো টাকা চার্জ হবে না এর জন্য জি কথা বলে ভালো লাগলো স্যার ধন্যবাদ এয়ারটেলে কল করার জন্য ভালো থাকবেন স্লামুলাইকুম,N
আসসালামু আলাইকুম সাদিয়া বলছি আজ আপনাকে কিভাবে হেল্প করতে পারি বিষয়টির জন্য খুবই দুঃখিত স্যার একটু সময় দিবেন কাইন্ডলি চেক করে জানিয়ে দিচ্ছি স্যার আপনি কখনই আপনার এটা কি টং অফারে চেক করে দেখা হয়েছে স্যার আপনার এই পাঁচ জিবি ইন্টারনেট এটা কি আপনার রিটেইলার রিটেইলারের সিম দিয়ে এবং আপনার সেখানে স্টার ট্রিপল এইট হ্যাশ কোডটি ডায়াল করে আপনার সিম দিয়ে চেক করে দেখেছে অফারটি স্যার আপনি যে অফারটির কথা বলছেন এই অফারটি কোথায় দেখেছেন পাঁচ জিবি ইন্টারনেট স্যার আপনি যে অফারটির কথা বলছেন এটা স্পেশাল অফার সেই এই অফারটির জন্য এসএমএস পেতে হবে যে দিন এসএমএস পাবেন শুধুমাত্র সেই দিনের জন্য অফারটি অ্যাভেলেবেল থাকে স্যার একশ এক টাকায় আমাদের রেগুলার অফার টু পয়েন্ট ফাইভ জিবি সাত দিন মেয়াদ জি এটা আমাদের রেগুলার অফার স্যার এটা আপনি যখন খুশি তখনই এই অফারটি নিতে পারবেন বাট আপনি যে অফারটির কথা বলছেন এটা স্পেশাল অফার স্যার এটা যেদিন এসএমএসটি দেয়া হবে আপনি সেইদিন নিতে পারবেন স্যার আপনি যখনই নিবেন কাইন্ডলি একটু চেক করে নিবেন স্যার আমাদের ওয়ান টু ওয়ান মেন্যু ফাইভ নাইন মাই এয়ারটেল অ্যাপসের ওয়ান টু ওয়ান থেকে অটো মেন্যু থেকে অথবা স্টার ওয়ান টু ওয়ান হ্যাশ কোডটি ডায়াল করে সম্পূর্ণ ফ্রিতে আপনি সার্ভিস নিতে পারবেন এছাড়া খুবই দুঃখিত স্যার সেইক্ষেত্রে ওয়ান টু ওয়ানে জি স্যার সেইক্ষেত্রে আপনি ওয়ান টু ওয়ানে কল করে ইনস্ট্রাকশন ফলো করে সাতষট্টি পয়সা কলরেটে কথা বলতে পারবেন স্যার এজেন্টের সাথে স্যার আপনি আমাদের সাথে কথা বলতে ওয়ান টু ওয়ানে কল করে এই ইনস্ট্রাকশন ফলো করে সাথে খুবই দুঃখিত স্যার ওয়ান টু ওয়ানে কল করে ইনস্ট্রাকশন ফলো করে সাতষট্টি পয়সা কলরেটে আপনি এজেন্টে সাথে খুবই দুঃখিত,A
স্লামলাইকুম নিলা বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি হ্যালো জি স্যার বিষয় জি বিষয়টির জন্য আন্তরিকভাবে দুঃখিত স্যার কাইন্ডলি সময় দিয়ে সাথে থাকবেন আমি চেক করে জানিয়ে দিচ্ছি কিছুটা সময় নিচ্ছি সাথে থাকবেন স্যার আপনি নিশ্চিত থাকতে পারেন স্যার এই মুহূর্তে টাকা চার্জ করার মত কোনো সার্ভিস চালু নেই স্যার ইন ফিউচার যাতে এধরনের প্রব্লেম ফেস না করেন ঠিক আছে সম্পূর্ণ বিনামূলে স্টার নাইন হ্যাশ ডায়াল করবেন কলার টিউন মাই টিউন মাই হেলথ ফ্যামিলি প্যাক সহ সঙ্গে মিসড কল অ্যালার্ট সার্ভিসটি অফ হয়ে যাবে এছাড়া আপনি নিজেও চেক করতে পারবেন আপনার কোনো সার্ভিস চালু আছে কিনা স্টার ওয়ান টু ওয়ান স্টার ফোর স্টার ফোর হ্যাশ ডায়াল করে আমি এসএমএস করে পাঠিয়ে দিয়েছি আর নিশ্চিত থাকুন এই মুহূর্তে টাকা চার্জ করার মতো কোনো সার্ভিস চালু নেই ওকে স্যার আপনার সাথে কথা বলে ভালো লাগলো ধন্যবাদ এয়ারটেলের সাথে থাকার জন্য ভালো থাকবেন স্লামুলাইকুম,N
আসসালামু আলাইকুম সাগর বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি জি জি স্যার জি ওকে স্যার ওকে জি জি ওকে স্যার বিষয়গুলোর জন্য খুবই দুঃখিত স্যার আপনার একটি ডাটা প্যাক ইনঅ্যাকটিভ আছে স্যার এছাড়াও আপনার বারো জিবি ডাটা প্যাক অ্যাকটিভ আছে স্যার মোবাইলের সিগন্যাল বার কি দেখা যাচ্ছে এবং এগুলা কি উঠা নামা করে স্যার আপনি যেখানে প্রব্লেমটি ফেস করেন সেই স্থান থেকেই কি কলটি করেছেন স্যার আপনি কি হ্যান্ডসেট অফ অন করেও ট্রাই করে দেখেছেন তাইতো ঠিক আছে স্যার ঠিক আছে যেহেতু আপনি বলছেন আপনি প্রব্লেমটি ফেস করছেন প্রব্লেমটি সলভ করার জন্য আপনার হয়ে আমি একটি কমপ্লেইন রাখছি প্লিজ বলবেন আপনি কোন জেলা থেকে ফোনটি করেছেন স্যার আপনি নিদির্ষ্ট যে এলাকায় থাকেন সে এলাকার নামটি বলুন ওকে স্যার ঠিক আছে কত তারিখে থেকে প্রব্লেমটি ফেস করেন ওকে স্যার আপনার হয়ে আমি একটি কমপ্লেইন রেখিছি স্যার নেটওয়ার্কের সমস্যা সমাধান যেহেতু একটি সময়সাপেক্ষ বিষয় আমরা প্রাথমিক সমাধানটি নিয়ে আপনার সাথে খুব দ্রুত যোগাযোগ করবো স্যার আপনাকে এই বিষয়ে কষ্ট করে আর ফোন করার প্রয়োজন নাই স্যার আপনাকে তো নামাজ এর সময় ফোন করা হবে না স্যার ওকে স্যার এই প্রব্লেমটি সলভ করার জন্য স্যার আমি খুব দ্রুত কাজটি সমাধান করার জন্য আপনার হয়ে একটি কমপ্লেইন রেখে দিয়েছি স্যার প্লিজ একটু ওয়েট করুন এবং শিওর থাকতে পারেন খুব দ্রুত প্রব্লেমটি সলভ করে দেওয়া হবে স্যার আপনাকে এই বিষয়ে কষ্ট করে আর ফোন করার প্রয়োজন নাই স্যার আমরা আপনার সাথে যোগাযোগ করে নিবো ঠিক আছে আপনার কাছে কি একটি রিকোয়েস্ট রাখতে পারি আমি স্যার ঠিক আছে স্যার কথা বলে খুবই ভালো লাগলো এয়ারটেলের সাথে থাকার জন্য অসংখ্যা ধন্যবাদ আসসালামু আলাইকুম,N
আসসালামু আলাইকুম দোলন বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি দুঃখিত বিষয়টির জন্য সময় দিবেন আমি চেক করে জানিয়ে দিচ্ছি স্যার লোন নেওয়া হয়েছিলো যার জন্য ছাব্বিশ টাকা বকেয়া পরিশোধ হয়েছে দুঃখিত তেরো টাকা না স্যার আপনি পঁয়ত্রিশ মিনিট নিয়েছিলেন তেইশ টাকা তেত্রিশ পয়সার মাধ্যমে সাথে এসডি ভ্যাট সারচার্জ দুই টাকা সাতষট্টি পয়সা টোটাল ছাব্বিশ টাকা চার্জ হয়েছে আপনি মিনিট লোন নিয়েছিলেন স্যার পঁয়তাল্লিশ পঁয়ত্রিশ মিনিট পঁয়ত্রিশ মিনিট লোন নিয়েছিলেন আপনি এখনও অ্যাকাউন্টে মিনিট আছে সতেরো মিনিট অলরেডি কথাও বলেছেন পঁয়ত্রিশ মিনিট থেকে এখন সতেরো মিনিট আছে আপনার অ্যাকাউন্টে মোস্ট ওয়েলকাম ধন্যবাদ এয়ারটেলের সাথে থাকার জন্য ভালো থাকবেন,A
আসসালামু আলাইকুম নাজমা বলছি আজকে আপনাকে কিভাবে সহযোগিতা করতে পারি কাইন্ডলি আমাকে একটু সময় দিয়ে সহযোগিতা করবেন স্যার আমি চেক করছি ওকে স্যার আপনি কি ডায়ালের মাধ্যমে নিয়েছিলেন নাকি জি স্যার আমি দেখতে পাচ্ছি এটিতো পারচেজ হয়নি আপনার এখানে আমি দেখতে পাচ্ছি কোনো ডাটা ব্যালেন্স অবশিষ্ট নেই স্যার জি না স্যার আপনার এখানে অ্যাভেলেবেল ক্রেডিট লিমিট আছে তিনশ তেরো টাকা তিহাত্তর পয়সা এর মধ্যে যে কোনো প্যাকেজ আপনি নিতে পারবেন বাট আপনি যে কোডটি ডায়াল করেছেন এর কোনো তথ্য আমাদের সিস্টেমে এখনো পর্যন্ত আপডেট আসেনি স্যার স্যার আপনি কি মাই এয়ারটেল অ্যাপটি ব্যবহার করে থাকেন ওকে স্যার আপনার এখানে কোনো ডেটা ব্যালেন্স পারচেজ করা হয়নি বলুন আমি আপনাকে এই মুহূর্তে কিভাবে সহযোগিতা করতে পারি সময় দিয়ে সহযোগিতা করবেন স্যার কত টাকার প্যাকেজটি আপনি নিতে চাচ্ছেন কাইন্ডলি একটু জানাবেন ওকে জি স্যার ঠিক আছে একটু সময় দিবেন আমি চেক করে দেখছি কোন প্যাকেজটি আপনাকে এই মুহূর্তে দেওয়া যেতে পারে স্যার উনত্রিশ টাকায় একটি প্যাকেজ আছে আমাদের আটশো এমবি তিন দিনের মেয়াদী ওকে স্যার একটু আমাকে সময় দিন আমি জি স্যার আমি এখান থেকে আপনার উনত্রিশ টাকার প্যাকেজটি অ্যাকটিভ করে দিয়েছি আপনি স্টার থ্রি হ্যাশ কোডটি ডায়ালের মাধ্যমে আপনার ডাটা ব্যালেন্সটি চেক করতে পারবেন অথবা মাই এয়ারটেল অ্যাপ থেকে জি অলরেডি পৌছে গেছে আপনার ব্যালেন্স অ্যাড হয়ে গেছে জি স্যার স্যার একটা অনুরোধ করতে পারি কল শেষে টু ডাবল সিক্স ডাবল সিক্স নাম্বার থেকে একটি এসএমএস যাবে আমার দেওয়া সার্ভিসটি কেমন লেগেছে মতামতটি জানতে চাওয়া হবে যদি সময় হয় অবশ্যই একটু রিপ্লাই করবেন স্যার আপনার কোনো চার্জ লাগবে না ধন্যবাদ স্যার এয়ারটেলের সাথে থাকার জন্য ভালো থাকুন,N
আসসালামু আলাইকুম ইমরান বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি ওয়ালাইকুম আসসালাম জি বলুন কাইন্ডলি সময় দিয়ে সহায়তা করবেন বিষয়টি চেক করে জানাচ্ছি সাথেই থাকবেন আমি আপনার কাজটি করছি কিছুটা সময়ের প্রয়োজন হচ্ছে স্যার এই মুহূর্তে চেক করে দেখতে পাচ্ছি আপনার নাম্বারে টাকা চার্জ হয় এ ধরনের কোনো সার্ভিস অ্যাকটিভ নেই বিষয়টি নিজেও দেখতে পারবেন আপনার নাম্বার থেকে স্টার ওয়ান টু ওয়ান স্টার ফোর স্টার ফোর হ্যাশ কোড ডায়াল করার মাধ্যমে আর যদি কখনো মনে হয় ফোন থেকে সার্ভিসের জন্য টাকা চার্জ হচ্ছে তাহলে স্টার নাইন হ্যাশ কোড ডায়াল করবেন ফ্রিতে মিসকল অ্যালার্ট জি স্যার মিসকল অ্যালার্ট সার্ভিস কলার টিউন মাই টিউন মাই হেলথ ফ্যামেলি প্যাক সহ টাকা চার্জ হয় এ ধরনের সকল সার্ভিস ফ্রিতে বন্ধ হয়ে যাবে আমি সকল তথ্য আপনার নাম্বারে এসএমএস করে দিয়েছি ওকে জি এখন দেখুন আপনার নাম্বারে এসএমএস চলে গিয়েছে স্যার ঠিক আছে ওকে আপনোর সাথে কথা বলে অনেক ভালো লাগলো ধন্যবাদ এয়ারটেলে কল করার জন্য ভালো থাকুন আসসালামু আলাইকুম বলুন জি জি স্যার আটচল্লিশ পয়সা জি চৌষট্টি পয়সা স্যার জি না স্যার এটিই বাংলাদেশের সর্বনিম্ন কলরেট স্যার এটি চৌষট্টি পয়সা করে চার্জ হয় স্যার আর যদি কোনো স্পেশাল অফার থাকে ঠিক আছে যদি আপনার কোনো পঁয়তাল্লিশ পয়সার কলরেট দেওয়া হয় তাহলে সেক্ষেত্রে ষাইট পয়সা চার্জ হবে স্যার এটি স্পেশাল অফার স্যার যখন আপনাকে দেবে তখনই পাবেন স্যার জি এটি আপনার সাঁইত্রিশ দিন দুই মাস চুরানব্বই টাকা স্যার আমি এখান থেকে হ্যাঁ জি আমি এখান থেকে অ্যামাউন্ট গুলো আপনাকে এসএমএস করে দিচ্ছি ঠিক আছে কত দিন মেয়াদ সহকারে ওকে স্যার দুঃখিত স্যার এখান থেকে তো আমার আদার্স নাম্বারের কোনো তথ্য ঠিক আছে বাট আমার এখান থেকে কলিং নাম্বার ব্যতিত এসকল তথ্য জানাতে পারি না স্যার ওকে স্যার বাট স্যার এটাতো পসিবল হয় না স্যার এমন কোনো অপশন নেই আমাদের কাছে থাকলে অবশ্যই আমি সেটি করে দিতাম স্যার এখন তো এখান থেকে অবশ্য আমাকে নিয়ম মেইনটেইন করেই আপনাদের সার্ভিসটা প্রোভাইড করতে হবে স্যার জি না স্যার স্যার সেক্ষেত্রে যদি নাম্বারটি আপনার হয় তাহলে আপনি সেইক্ষেত্রে এয়ারটেলে কেয়ারে যেয়ে আপনি সেখান থেকে কল হিস্টরি নিতে পারবেন স্যার ঠিক আছে ষাইট দিনের পঞ্চাশ টাকা আদার্স নাম্বার থেকে বিরক্ত করছে সেই নাম্বারটি নিয়ে আপনি নিকটস্থ থানায় চলে যান স্যার ঠিক আছে তাহলে সেখান থেকে তারা প পরবর্তী পদক্ষেপ গ্রহণ করবে ওকে স্যার জি না স্যার জি না স্যার জি না স্যার ওকে স্যার কথা বলে ভালো লাগলো ধন্যবাদ এয়ারটেলে কল করার জন্য ভালো থাকুন জি স্যার নাম্বারটি কি বন্ধ রেখেছেন অনেক দিন ধইরা আপনি এই নাম্বারে রিচার্জ করুন যে কোনো একটি অ্যামাউন্ট রিচার্জ করে নিন তাহলে ঐ নম্বারটি অ্যাকটিভ হয়ে যাবে প্রিপেইড কার্ডের মেয়াদ শেষ হয়ে যাওয়ার কারণে সমস্যাটি হয়েছে স্যার অনেক দিন বন্ধ থাকার কারণে বলুন স্যার জি জি জি জি স্যার আপনি নাম্বারে রিচার্জ করুন জি জিরো ওয়ান সিক্স জি হুম জি রিচার্জ করুন তাহলে স্যার আপনি নিকটস্থ এয়ারটেল কেয়ারে কিংবা বায়োমেট্রিক পয়েন্টে চলে যান সেখান থেকে এনআইডি কার্ডের ইনফরমেশন জি স্যার আপনি নিকটস্থ এয়ারটেল কেয়ার অথবা বায়োমেট্রিক পয়েন্টে যান এনআইডি কার্ডের তথ্যটি নিয়ে দুইশ টাকার বিনিময়ে সিমটি রিপ্লেসমেন্ট করে নিতে পারবেন ওকে জি ধন্যবাদ এয়ারটেলের জি না স্যার স্যার সিমটি যদি আপনার এনআইডি কার্ডে থাকে তাহলে অবশ্যই পারবেন স্যার তাহলে পারবেন স্যার ধন্যবাদ এয়ারটেলে কল করার জন্য ভালো থাকুন আসসালামু আলাইকুম,N
আসসালামু আলাইকুম সাবিহা বলছি আজকে কিভাবে সহযোগিতা করতে পারি জি স্যার বলুন শুনতে পাচ্ছি কিভাবে সহযোগিতা করতে পারি আন্তরিকভাবে দুঃখিত স্যার বিষয়টির জন্য সময় দিবেন আমি চেক করে বিষয়টি কনফার্ম করছি যে কি জন্য চার্জ হচ্ছে আমি আপনার কাজটি করছি একটু সময় লাগছে আমার স্যার আপনার লোনের জন্য চার্জ হয়েছে আজকে দশ টাকা স্যার এখনো আপনার লোন বকেয়া আছে দুই টাকা ছিষট্টি পয়সা আপনি লোন নিয়েছিলেন পঁচিশ মিনিট সেখানে বিশ টাকা চার্জ হয় দশ টাকা চার্জ হয়েছে এখনো দুই টাকা ছিষট্টি পয়সা চার্জ হয়েছে আর এর আগে পঁচিশে আগষ্টে সাত টাকা চৌত্রিশ পয়সা চার্জ হয়েছিলো আর পঁচি ওখানে আট টাকা বত্রিশ পয়সা দশ টাকা বকেয়া আছে জি স্যার আপনার লোনটা বকেয়া ছিলো স্যার সেই জন্য রিকভারি করা হয়েছে আপনি চাইলে স্যার এখন আমি দেখতে পাচ্ছি আপনার পঁচিশ মিনিট লোন নিয়া ছিলো স্যার যে কারণে আপনার লোনের জন্য চার্জ হয়েছে আপনি চাইলেও ফ্রিতে স্টার এইট হ্যাশ ডায়াল করে নিয়ম অনুসরণ করে বা মাই এয়ারটেল অ্যাপসে কুইক লিংকে লোন হিস্ট্রি অপশন আছে দেখতে পারেন আর আপনার দুই টাকা ছিষট্টি পয়সা চার্জ হলে লোন পরিশোধ হয়ে যাবে আর কোনো লোনের জন্য রিকভারি করা হবে না স্যার চার্জ হবে না সময় দিবেন আমি জানাচ্ছি একশ আটানব্বই টাকায় আপনি আট জিবি ইন্টারনেট পেয়েছেন আর দুইশ মিনিট পেয়েছেন স্টার থ্রি হ্যাশ ডায়াল করে ওয়ান দিয়ে রিপ্লাই করে দুই জিপি টুতে রিপ্লাই করে ছয় জিবি দেখতে পারবেন আর মিনিট স্টার ডাবল সেভেন এইট স্টার জিরো হ্যাশ ডায়াল করে দেখতে পারবেন আপনি আশি মিনিট আর স্টার ডাবল সেভেন এইট স্টার টু নাইন হ্যাশ ডায়াল করে দেখতে পারবেন একশ বিশ মিনিট চাইলে মাই এয়ারটেল অ্যাপসেও দেখতে পারেন আমি নিয়মগুলো পাঠিয়ে দিয়েছি স্যার জি না স্যার স্যার আমরা দুই টাকা ছিষট্টি পয়সা চার্জ হলে আপনার লোন পরিশোধ হয়ে যাবে আপনি নিশ্চিন্তে থাকতে পারেন কথা বলে অনেক ভালো লাগলো এয়ারটেলে কল করার জন্য অসংখ্যা ধন্যবাদ ভালো থাকবেন স্যার আল্লাহ হাফেজ,A
আসসালামু আলাইকুম পরেশন বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি স্যরি স্যার বুঝতে পারিনি আপনার কথাটি স্যার জি জি স্যার আপনাকে এসএমএস করলে তো আপনার জন্য টাকা চার্জ হবে না আপনি এসএমএস সেন্ড করলে আপনার টাকা চার্জ হবে আমি দেখছি পাচ্ছি আপনি এসএমএস সেন্ড করেছেন স্যরি স্যার আমি দেখতে পাচ্ছি এগারো ছাব্বিশ মিনিট উনষাট সেকেন্ড আপনি একটি এসএমএস সেন্ড করেছেন তখন আপনার মেইন ব্যালেন্স থেকে তিন টাকা তেত্রিশ পয়সা চার্জ হয়েছে কিন্তু স্যার আমার সিস্টেম থেকে চেক করে দেখতে পাচ্ছি তো আপনি এসএমএসটি সেন্ড করেছেন স্যার স্যরি স্যার আপনি কি মাই এয়ারটেল অ্যাপসটি ইউজ করছেন মাই এয়ারটেল অ্যাপস ইউজ করছেন জি মাই এয়ারটেল অ্যাপসে অপশনের ইউজেস হিস্টরিতে গেলে আপনি চেক করতে পারবেন কোন কোন মাধ্যমে কত টাকা ইউজ করেছেন ঠিক আছে স্যার স্যার আপনি তো এসএমএস সেন্ড করেছেন আপনি নিজে চেক করতে পারবেন চেক করুন আপনার হ্যান্ডসেট থেকে এসএমএস সেন্ড হয়েছে স্যার আমার সিস্টেম থেকে চেক করে দেখতে পাচ্ছি তো আপনি এসএমএস সেন্ড করেছেন যদি আপনি ট্রাস্ট না করেন আপনি কাইন্ডলি একটু কষ্ট করে আপনার এয়ারটেল অ্যাপসে যাবেন যাওয়ার পর ইউজেস হিস্টরিতে চেক করলে দেখতে পাবেন অথবা আপনার ইনবক্সটি চেক করুন আপনি এসএমএস সেন্ড করেছেন স্যার এমন কোনো অপশন নেই স্যার দুঃখিত স্যার ঠিক আছে ভালো থাকবেন এয়ারটেলের সাথে থাকার জন্য ধন্যবাদ,N
আসসালামু আলাইকুম রুমা বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি ওয়ালাইকুম আসসালাম খুবই স্যরি স্যার বিষয়টির জন্য কত টাকা করে চার্জ ,
